Aao Wish Karein,drama,Aftab Shivdasani,Glen Barreto,1700000
Darwaza Bandh Rakho,comedy,Aftab Shivdasani,J.D. Chakravarthi,23200000
Koi Aap Sa,rom__com,Aftab Shivdasani,Partho Mitra,22480000
Aloo Chaat,comedy,Aftab Shivdasani,Robby Grewal,74680000
Ankahee,thriller,Aftab Shivdasani,Vikram Bhatt,17630000
Red - The Dark Side,thriller,Aftab Shivdasani,Vikram Bhatt,55900000
My Friend Ganesha,drama,Ahsaas Channa,Rajiv S. Ruia,15900000
Umrao Jaan,drama,Aishwarya Rai,J.P. Dutta,195250000
Provoked,drama,Aishwarya Rai,Jag Mundhra,132797500
The Mistress Of Spices,drama,Aishwarya Rai,Somnath Sen,34400000
U Me Aur Hum,love_story,Ajay Devgn,Ajay Devgn,400200000
Shivaay,thriller,Ajay Devgn,Ajay Devgn,1241455000
Blackmail,thriller,Ajay Devgn,Anil Devgan,65872500
Cash,thriller,Ajay Devgn,Anubhav Sinha,293005000
Atithi Tum Kab Jaoge?,comedy,Ajay Devgn,Ashwini Dhir,433110000
Son Of Sardaar,masala,Ajay Devgn,Ashwini Dhir,1351247500
Rascals,comedy,Ajay Devgn,David Dhawan,510181250
Main Aisa Hi Hoon,drama,Ajay Devgn,Harry Baweja,51775000
Shikhar,drama,Ajay Devgn,John M. Matthan,103450000
Insan,action,Ajay Devgn,K. Subhash,104100000
Zameer - The Fire Within,thriller,Ajay Devgn,Kamal,15850000
Toonpur Ka Superrhero,fantasy,Ajay Devgn,Kireet Khurana,51046250
Dil Toh Baccha Hai Ji,comedy,Ajay Devgn,Madhur Bhandarkar,404600000
Tango Charlie,action,Ajay Devgn,Mani Shankar,114856250
Once Upon A Time In Mumbaai,drama,Ajay Devgn,Milan Luthria,851780000
Baadshaho,action,Ajay Devgn,Milan Luthria,1011820000
Drishyam,thriller,Ajay Devgn,Nishikant Kamat,1104260000
Action Jackson,action,Ajay Devgn,Prabhu Deva,888717500
Apaharan,action,Ajay Devgn,Prakash Jha,231650000
Satyagraha,drama,Ajay Devgn,Prakash Jha,910075000
Aakrosh,thriller,Ajay Devgn,Priyadarshan,194030000
Tezz,thriller,Ajay Devgn,Priyadarshan,261237500
Halla Bol,drama,Ajay Devgn,Rajkumar Santoshi,193900000
Golmaal - Fun Unlimited,comedy,Ajay Devgn,Rohit Shetty,467260000
Sunday,comedy,Ajay Devgn,Rohit Shetty,319615000
Golmaal Returns,comedy,Ajay Devgn,Rohit Shetty,800080000
All The Best - Fun Begins,comedy,Ajay Devgn,Rohit Shetty,617775000
Golmaal 3,comedy,Ajay Devgn,Rohit Shetty,1695635000
Singham,action,Ajay Devgn,Rohit Shetty,1413035000
Bol Bachchan,comedy,Ajay Devgn,Rohit Shetty,1596640000
Singham Returns,action,Ajay Devgn,Rohit Shetty,2165697500
Golmaal Again,comedy,Ajay Devgn,Rohit Shetty,3110450000
Himmatwala,masala,Ajay Devgn,Sajid Khan,657993750
Kaal,thriller,Ajay Devgn,Soham Shah,331175000
Omkara,drama,Ajay Devgn,Vishal Bhardwaj,424120000
Pal Pal Dil Ke Ssaat,drama,Ajay Jadeja,V.K. Kumar,800000
Boyfriend.com,drama,Ajay Kumar,L.N. Masade,170000
Jeet Lenge Jahaan,drama,Ajay Shukla,Lalit M. Bisht,525000
Angry Young Man,action,Ajay Sinh Rathod,Ramesh Rout,2325000
Jai Balaji Mehndipur Wale,mythological,Ajay Soni,Sanjay Suryavanshi,130000
The World Of Fashion,drama,Ajaz Khan,Sanjay Khandelwal,215000
Lakeer Ka Fakeer,drama,Ajaz Khan,Zubair Khan,2175000
Calendar Girls,drama,Akanksha Puri,Madhur Bhandarkar,81900000
Bloody Isshq,thriller,Akash,Arup Dutta,5000000
Faraar,action,Akbar Khan,Santosh Gupta,425000
Alag,drama,Akshay Kapoor,Ashu Trikha,5600000
Holiday - A Soldier Is Never Off Duty,thriller,Akshay Kumar,A.R. Murugadoss,1764220000
The Shaukeens,comedy,Akshay Kumar,Abhishek Sharma,272025000
Welcome,comedy,Akshay Kumar,Anees Bazmee,1194975000
Singh Is Kinng,masala,Akshay Kumar,Anees Bazmee,1239675000
Thank You,comedy,Akshay Kumar,Anees Bazmee,710232500
Blue,action,Akshay Kumar,Anthony D'Souza,639212500
Boss,action,Akshay Kumar,Anthony D'Souza,848280000
Khiladi 786,comedy,Akshay Kumar,Ashish R. Mohan,970540000
Bewafaa,love_story,Akshay Kumar,Dharmesh Darshan,331830000
Tees Maar Khan,comedy,Akshay Kumar,Farah Khan,995145000
Entertainment,comedy,Akshay Kumar,Farhad - Sajid,1033030000
Housefull 3,comedy,Akshay Kumar,Farhad - Sajid,1949350000
Brothers,action,Akshay Kumar,Karan Malhotra,1230950000
Jumbo,animation,Akshay Kumar,Kompin Kemgumnird,34700000
Gabbar Is Back,action,Akshay Kumar,Krish,1358120000
Once Upon A Time In Mumbaai Dobaara!,action,Akshay Kumar,Milan Luthria,917100000
8 x 10 Tasveer,thriller,Akshay Kumar,Nagesh Kukunoor,235800000
Special 26,thriller,Akshay Kumar,Neeraj Pandey,1036240000
Baby,thriller,Akshay Kumar,Neeraj Pandey,1248440000
Phir Hera Pheri,comedy,Akshay Kumar,Neeraj Vora,691200000
Chandni Chowk To China,action,Akshay Kumar,Nikhil Advani,562262500
Patiala House,drama,Akshay Kumar,Nikhil Advani,560405000
Rowdy Rathore,action,Akshay Kumar,Prabhu Deva,1984775000
Singh Is Bling,masala,Akshay Kumar,Prabhu Deva,1253850000
Garam Masala,comedy,Akshay Kumar,Priyadarshan,546517500
Bhagam Bhag,comedy,Akshay Kumar,Priyadarshan,678252500
Bhool Bhulaiyaa,comedy,Akshay Kumar,Priyadarshan,828377500
De Dana Dan,comedy,Akshay Kumar,Priyadarshan,818520000
Khatta Meetha,comedy,Akshay Kumar,Priyadarshan,627920000
Humko Deewana Kar Gaye,love_story,Akshay Kumar,Raj Kanwar,273650000
Family - Ties of Blood,action,Akshay Kumar,Rajkumar Santoshi,145952500
Desi Boyz,drama,Akshay Kumar,Rohit Dhawan,804360000
Kambakkht Ishq,rom__com,Akshay Kumar,Sabbir Khan,855630000
Heyy Babyy,comedy,Akshay Kumar,Sajid Khan,839390000
Housefull,comedy,Akshay Kumar,Sajid Khan,1163035000
Housefull 2,comedy,Akshay Kumar,Sajid Khan,1884050000
Jaan-E-Mann,love_story,Akshay Kumar,Shirish Kunder,462680000
Joker,fantasy,Akshay Kumar,Shirish Kunder,321087500
Toilet Ek Prem Katha,drama,Akshay Kumar,Shree Narayan Singh,2000800000
Jolly LLB 2,comedy,Akshay Kumar,Subhash Kapoor,1827342500
Dosti - Friends Forever,love_story,Akshay Kumar,Suneel Darshan,230727500
Mere Jeevan Saathi,love_story,Akshay Kumar,Suneel Darshan,78207500
OMG! Oh My God,comedy,Akshay Kumar,Umesh Shukla,1215775000
Tashan,action,Akshay Kumar,Vijay Krishna Acharya,516200000
Deewane Huye Paagal,comedy,Akshay Kumar,Vikram Bhatt,265825000
Waqt - The Race Against Time,drama,Akshay Kumar,Vipul Amrutlal Shah,424862500
Namastey London,love_story,Akshay Kumar,Vipul Amrutlal Shah,714102500
Action Replayy,comedy,Akshay Kumar,Vipul Amrutlal Shah,462943750
Pizza,suspense,Akshay Oberoi,Akshay Akkineni,44800000
Isi Life Mein...!,love_story,Akshay Oberoi,Vidhi Kasliwal,13900000
36 China Town,suspense,Akshaye Khanna,Abbas - Mustan,379200000
Naqaab,thriller,Akshaye Khanna,Abbas - Mustan,212037500
Dahek,drama,Akshaye Khanna,Aroop Adhikari,160000
Aap Ki Khatir,love_story,Akshaye Khanna,Dharmesh Darshan,132380000
Gandhi My Father,drama,Akshaye Khanna,Feroz Abbas Khan,74970000
Short Kut - The Con Is On,comedy,Akshaye Khanna,Neeraj Vora,133875000
Mere Baap Pehle Aap,comedy,Akshaye Khanna,Priyadarshan,362380000
Shaadi Se Pehle,rom__com,Akshaye Khanna,Satish Kaushik,168865000
Vatsayanana Kamasutra - 2,adult,Akshita,Sanjay Khandelwal,2900000
Mr. Majnu,love_story,Aksshat,Geeta Tomar,140000
Romeo Bola Pyar Ki Aisi Ki Taisi,comedy,Al Amin,Akram Khan,140000
Sonali Cable,drama,Ali Fazal,Charudutt Acharya,11100000
Khamoshiyan,horror,Ali Fazal,Karan Darra,134180000
Always Kabhi Kabhi,drama,Ali Fazal,Roshan Abbas,41800000
Baat Ban Gayi,comedy,Ali Fazal,Shuja Ali,2450000
Tere Bin Laden,comedy,Ali Zafar,Abhishek Sharma,114310000
London Paris New York,love_story,Ali Zafar,Anu Menon,111517500
Chasme Baddoor,comedy,Ali Zafar,David Dhawan,628043750
Total Siyaapa,rom__com,Ali Zafar,E. Niwas,131490000
Dear Zindagi,drama,Alia Bhatt,Gauri Shinde,1389137500
Kkamjori - The Weakness,drama,Alia Shah,Sandeep Bhat,1375000
Karma: Crime. Passion. Reincarnation,thriller,Alma Grey,M.R. Shahjahan,1075000
Ek Baar Dhol Bajao Na,adult,Amaan Khan,Shashi Shekhar,375000
Kamsin - The Untouched,adult,Aman Sagar,Amit Suryavanshi,325000
Aakhari Decision,action,Amar Sidhu,Deepak Kumar Bandhu,625000
Iqraar By Chance,love_story,Amarjeet,K. Ravi Shankar,2050000
Runway,thriller,Amarjeet,Sunil Tiwari,4250000
Me Mamu & 7,comedy,Amit Hotchandani,Amit Chauhan,400000
Hot Maliaka,adult,Amit Kapoor,Arjun Raj,775000
Garam Saansein,adult,Amit Kapoor,Babu,850000
Bach Ke Zaraa,adult,Amit Kapoor,Salim Raza,1175000
Kaam Milan,adult,Amit Pachori,Chandini Gupta,825000
Agni Prem,adult,Amit Pachori,Chandini Gupta,1300000
Aalaap,drama,Amit Purohit,Manish Manikpuri,1700000
Miss Anara,drama,Amit Rao,Yogesh Bharadwaj,6700000
332 Mumbai to India,thriller,Amit Riyaan,Mahesh Pandey,1175000
Running Shaadi,rom__com,Amit Sadh,Amit Roy,13400000
Ek Gumrah,thriller,Amit Sharma,Manjul Kapoor,450000
1971,drama,Amitabh Bachchan,Amrit Sagar,4550000
Pink,drama,Amitabh Bachchan,Aniruddha Roy Chowdhury,1093780000
Yaar Meri Zindagi,drama,Amitabh Bachchan,Ashok Gupta,72000
Teen Patti,thriller,Amitabh Bachchan,Leena Yadav,76300000
Viruddh... Family Comes First,drama,Amitabh Bachchan,Mahesh Manjrekar,185125000
Bhoothnath Returns,drama,Amitabh Bachchan,Nitish Tiwari,510870000
Bbuddah Hoga Terra Baap,action,Amitabh Bachchan,Puri Jagannadh,245260000
Cheeni Kum,rom__com,Amitabh Bachchan,R. Balki,322200000
Paa,drama,Amitabh Bachchan,R. Balki,489325000
Shamitabh,drama,Amitabh Bachchan,R. Balki,371275000
Sarkar,drama,Amitabh Bachchan,Ram Gopal Verma,393047500
Nishabd,drama,Amitabh Bachchan,Ram Gopal Verma,117120000
Ram Gopal Varma Ki Aag,action,Amitabh Bachchan,Ram Gopal Verma,127300000
Sarkar Raj,action,Amitabh Bachchan,Ram Gopal Verma,595535000
Sarkar 3,action,Amitabh Bachchan,Ram Gopal Verma,205380000
The Last Lear,drama,Amitabh Bachchan,Rituparno Ghosh,14600000
Dil Jo Bhi Kahey,love_story,Amitabh Bachchan,Romesh Sharma,39820000
Black,drama,Amitabh Bachchan,Sanjay Leela Bhansali,409370000
Piku - Motion Se Hi Emotion,drama,Amitabh Bachchan,Shoojit Sircar,1412650000
Eklavya - The Royal Guard,thriller,Amitabh Bachchan,Vidhu Vinod Chopra,388280000
Bhoothnath,drama,Amitabh Bachchan,Vivek Sharma,387900000
Jo Dooba So Paar,comedy,Anand Tiwari,Praveen Kumar,3450000
Staying Alive,drama,Anant Mahadevan,Anant Mahadevan,145000
Ghazab Nagariya,drama,Ananya Khare,Arvind Ranjan Das,215000
C D Kaand,adult,Anara Gupta,Imtiaz Patel,5400000
Happy Husbands,comedy,Anay,Anay,5400000
No Entry,comedy,Anil Kapoor,Anees Bazmee,741350000
No Problem,comedy,Anil Kapoor,Anees Bazmee,450750000
My Wife's Murder,thriller,Anil Kapoor,Jijy Philip,30822500
Black & White,drama,Anil Kapoor,Subhash Ghai,82715000
Mere Haule Dost,comedy,Anirudh Loka,Nitin Raghunath,200000
Om Dar-B-Dar,drama,Anita Kanwal,Kamal Swaroop,325000
Admission Open,drama,Ankur Khanna,K.D. Satyam,1000000
City Of Gold - Mumbai 1982: Ek Ankahi Kahani,drama,Ankush Choudhary,Mahesh Manjrekar,12200000
Kahani Ek Sangharsh Ki,drama,Anmol Singh,Nitin Mathur,125000
Yeh Hai Bakrapur,comedy,Anshuman Jha,Janaki Vishwanathan,2250000
Mr Ya Miss,comedy,Antara Mali,Antara Mali,45350000
Miss Tanakpur Haazir Ho,drama,Anu Kapoor,Vinod Kapri,15400000
Yeshu Palanhar,drama,Anu Kashyap,Baldev Paal,100000
Perfect Mismatch,love_story,Anubhav Anand,Ajmal Zaheer Ahmad,1000000
Resham Dunkkk,action,Anuj Mishra,Shyamlal K. Mishra,115000
Chhutanki,fantasy,Anuj Pandit,Pankaj Sharma,150000
3 Nights 4 Days,drama,Anuj Sawhney,Devang Dholakia,142500
Chase,action,Anuj Saxena,Jag Mundhra,5000000
Paranthe Wali Gali,love_story,Anuj Saxena,Sachin Gupta,900000
Morning Walk,drama,Anupam Kher,Arup Dutta,5700000
Khosla Ka Ghosla,comedy,Anupam Kher,Dibakar Banerjee,66773750
Maine Gandhi Ko Nahin Mara,drama,Anupam Kher,Jahnu Barua,10262000
Mr. Bhatti On Chutti,comedy,Anupam Kher,Karan Razdan,365000
Yeh Mera India,drama,Anupam Kher,N. Chandra,5700000
Ekkees Toppon Ki Salaami,drama,Anupam Kher,Ravindra Gautam,19100000
American Blend,drama,Anupam Kher,Varun Khanna,325000
Sai Yatraa - A Religious Love Story,love_story,Apurv Ratan,Deepak Goswami,65000
Retake,adult,Arayan Singh,Ravi Sinha,2500000
Prem Kaa Game,comedy,Arbaaz Khan,Ashok Kheny,1775000
Kisaan,drama,Arbaaz Khan,Puneet Sira,27600000
Tera Intezaar,love_story,Arbaaz Khan,Rajeev Walia,23900000
Dee Saturday Night,drama,Arif Zakaria,Jay Prakash,2000000
Chalo Picnic Manayen,suspense,Arjun Chakraborty,Raaj Mukherjee,400000
I'm In Love,drama,Arjun Gaur,B.M. Mirza,155000
2 States,love_story,Arjun Kapoor,Abhishek Varman,1729900000
Tevar,masala,Arjun Kapoor,Amit Ravindernath Sharma,565125000
Mubarakan,comedy,Arjun Kapoor,Anees Bazmee,899330000
Aurangzeb,drama,Arjun Kapoor,Atul Sabharwal,350252500
Ishaqzaade,love_story,Arjun Kapoor,Habib Faisal,630500000
Half Girlfriend,love_story,Arjun Kapoor,Mohit Suri,864755000
Time Pass,comedy,Arjun Punj,Chander Mishra,5300000
Ek Ajnabee,action,Arjun Rampal,Apoorva Lakhia,123040000
Daddy,drama,Arjun Rampal,Ashim Ahluwalia,154790000
D Day,thriller,Arjun Rampal,Nikhil Advani,288982500
Chakravyuh,drama,Arjun Rampal,Prakash Jha,257700000
Vaada,thriller,Arjun Rampal,Satish Kaushik,95300000
Inkaar,drama,Arjun Rampal,Sudhir Mishra,149350000
Elaan,action,Arjun Rampal,Vikram Bhatt,129397500
I See You,drama,Arjun Rampal,Vivek Agrawal,19233750
Lekar Hum Deewana Dil,rom__com,Armaan Jain,Arif Ali,45360000
Yeh Figure Hai,adult,Arman,Vinod Rikhhi,600000
Bin Phere Free Me Ttere,comedy,Arsh Deol,Manoj Sharma,825000
Kisse Pyaar Karoon,comedy,Arshad Warsi,Ajay Chandhok,10700000
Rabba Main Kya Karoon,comedy,Arshad Warsi,Amrit Sagar,14400000
Welcome 2 Karachi,comedy,Arshad Warsi,Ashish R. Mohan,135362500
Krazzy 4,comedy,Arshad Warsi,Jaideep Sen,322780000
Sehar,drama,Arshad Warsi,Kabeer Kaushik,20400000
Hum Tum Aur Ghost,fantasy,Arshad Warsi,Kabeer Kaushik,80100000
Anthony Kaun Hai?,comedy,Arshad Warsi,Raj Kaushal,97960000
Kuchh Meetha Ho Jaye,rom__com,Arshad Warsi,Samar Khan,16662500
Mr. Joe B. Carvalho,comedy,Arshad Warsi,Samir Tewari,38300000
Jolly LLB,comedy,Arshad Warsi,Subhash Kapoor,432900000
Guddu Rangeela,drama,Arshad Warsi,Subhash Kapoor,96025000
Ek Se Bure Do,comedy,Arshad Warsi,Tarique Khan,10300000
Mirch,comedy,Arunoday Singh,Vinay Shukla,12600000
Charitraheen - Ek Naari Ki Vyatha,adult,Arvindo,Teerat Singh Johar,825000
Paapi - Ek Satya Katha,drama,Arya Babbar,Aziz Sejawal,1875000
Raftaar - An Obsession,thriller,Aryan Singh,Vickey S. Kumar,275000
Aisa Kyon Hota Hai,drama,Aryan Vaid,Ajay Kanchan,600000
Mr. 100% - The Real Player,drama,Aryan Vaid,Om Prakash Makkar,4400000
Ghutan,horror,Aryan Vaid,Shyam Ramsay,3300000
Good Luck,rom__com,Aryeman Ramsay,Aaditya Datt,525000
It's Rocking Dard-E-Disco,comedy,Aryeman Ramsay,Ashok Tyagi,1650000
Ek Aadat,drama,Aryeman Ramsay,Prakash Saini,850000
Kyun Hua Achanak,suspense,Aseem Ali Khan,Rajendra Shiv,325000
Mai,drama,Asha Bhonsle,Mahesh Kodiyal,1050000
Mumbai Can Dance Saalaa,thriller,Ashima Sharma,S. Sachindra,3100000
Nazar,thriller,Ashmit Patel,Soni Razdan,42379500
Saanwariya - Khatu Shyamji Ki Amar Gaatha,drama,Ashmit Patel,Vinod Chhabra,1100000
Love In Bombay,love_story,Ashok Kumar,Joy Mukherjee,225000
College Campus,drama,Ashraf Khan,Atul Sriva,1900000
Vidhata Tere Khel Hain Nirale,drama,Ashrita Agarwaal,Sanjay Sharan,475000
Coffee House,drama,Ashutosh Rana,Gurbir S. Grewal,1125000
Shabnam Mousi,drama,Ashutosh Rana,Yogesh Bharadwaj,2275000
Dhadkanein,love_story,Attin Bhalla,Imran Khalid,1550000
Gauri The Unborn,horror,Atul Kulkarni,Abu Akbar,5600000
Manasarovar,drama,Atul Kulkarni,Anup Kurian,145000
Aagaah - The Warning,horror,Atul Kulkarni,Karan Razdan,4000000
Bumm Bumm Bole,drama,Atul Kulkarni,Priyadarshan,13400000
Baba Ramsaa Peer,drama,Aushim Khetarpal,Bhabani Prasad,300000
Zindagi Jalebi,comedy,Avinash Bhargava,Karan Kashyyap,175000
Ada....A Way of life,drama,Ayaan Ahmad,Tanvir Ahmad,165000
Dor,drama,Ayesha Takia,Nagesh Kukunoor,38100000
Mod,love_story,Ayesha Takia,Nagesh Kukunoor,6325000
Sarfaroshi - A War Against System,thriller,Ayub Khan,Bhagirathi Swain,1200000
Meri Pyaari Bindu,rom__com,Ayushman Khurana,Akshay Roy,177910000
Bareilly Ki Barfi,rom__com,Ayushman Khurana,Ashwiny Iyer Tiwari,548960000
Bewakoofiyaan,rom__com,Ayushman Khurana,Nupur Asthana,222060000
Shubh Mangal Saavdhan,comedy,Ayushman Khurana,R.S. Prasanna,640220000
Nautanki Saala,comedy,Ayushman Khurana,Rohan Sippy,329322500
Dum Laga Ke Haisha,comedy,Ayushman Khurana,Sharat Katariya,414537500
Vicky Donor,comedy,Ayushman Khurana,Shoojit Sircar,613200000
Hawaizaada,drama,Ayushman Khurana,Vibhu Puri,55900000
Qasam Se Qasam Se,love_story,Azim,Ashfaque Makrani,3050000
Main Aur Mr. Riight,rom__com,Barun Sobti,Adeeb Rais,3900000
Janani,drama,Bhagyashree,Chander Behl,300000
Wife Hai To Life Hai,comedy,Bharat,Manish Shrivastava,300000
Cigarette Ki Tarah,thriller,Bhoop Yaduvanshi,Akashaditya Lama,5900000
Aatma,horror,Bipasha Basu,Deepak Ramsay,9400000
Corporate,drama,Bipasha Basu,Madhur Bhandarkar,150560000
Chehraa,thriller,Bipasha Basu,Saurabh Shukla,6200000
Pankh,drama,Bipasha Basu,Sudipto Chattopadhyay,2025000
Creature 3D,horror,Bipasha Basu,Vikram Bhatt,206350000
Yaad Rakhenge Aap,drama,Biswaroop Roy Chowdhary,Rana Jaiswal,325000
Humko Tumse Pyaar Hai,love_story,Bobby Deol,Bunty Soorma,43280000
Chamku,action,Bobby Deol,Kabeer Kaushik,30967500
Help,horror,Bobby Deol,Rajeev Virani,30900000
Nanhe Jaisalmer,drama,Bobby Deol,Samir Karnik,6996000
Vaada Raha...,drama,Bobby Deol,Samir Karnik,11000000
Ek - The Power Of One,action,Bobby Deol,Sangeeth Sivan,91500000
Barsaat,love_story,Bobby Deol,Suneel Darshan,195600000
Shaka Laka Boom Boom,drama,Bobby Deol,Suneel Darshan,95900000
Jurm,thriller,Bobby Deol,Vikram Bhatt,61400000
London Calling,drama,Bobby Khan,B. Subhash,1525000
Santa Banta Pvt. Ltd.,comedy,Boman Irani,Akashdeep,12500000
Shirin Farhad Ki Toh Nikal Padi,rom__com,Boman Irani,Bela Sehgal,198675000
Well Done Abba,drama,Boman Irani,Shyam Benegal,42300000
Ooops A Desi,thriller,Buali Shah,Jenner Jose,475000
Accident On Hill Road,thriller,Celina Jaitley,Mahesh Nair,1950000
Ek Main Ek Tum,horror,Chahat Khanna,Deepak Bengani,75000
MLA,drama,Chaitanya Naidu,Shiv Dube,675000
Laash - The Deadly Revenge,adult,Chaman Jackson,Suresh Jain,2200000
Prague,thriller,Chandan Roy Sanyal,Ashish R. Shukla,1150000
Love You To Death,drama,Chandan Roy Sanyal,Rafeeq Ellias,525000
Maruti Mera Dosst,fantasy,Chandrachur Singh,Manikya Raju,4000000
Prem Mayee,drama,Chandrachur Singh,Shekhar S. Jha,925000
Mokssh,drama,Chinmay Mandlekar,Ajit Bhairavkar,500000
Miley Naa Miley Hum,love_story,Chirag Paswan,Tanveer Khan,9700000
Wake Up India,drama,Chirag Patil,Babloo Sheshadri,950000
Fruit & Nut,comedy,Cyrus Broacha,Kunal Vijayakar,1500000
